SNo,subject,classname,img,duplicate,parent_img,ssim_score
0,p002,c0,img_44733.jpg,0,,0
1,p002,c0,img_72999.jpg,1,img_44733.jpg,0.856947065
2,p002,c0,img_25094.jpg,1,img_44733.jpg,0.838403775
3,p002,c0,img_69092.jpg,0,,0
4,p002,c0,img_92629.jpg,1,img_69092.jpg,0.915425858
5,p002,c0,img_3370.jpg,1,img_69092.jpg,0.841996849
6,p002,c0,img_67639.jpg,1,img_69092.jpg,0.838037411
7,p002,c0,img_58560.jpg,1,img_69092.jpg,0.833949603
8,p002,c0,img_35779.jpg,1,img_69092.jpg,0.837731607
9,p002,c0,img_10012.jpg,1,img_69092.jpg,0.822058451
10,p002,c0,img_70354.jpg,1,img_69092.jpg,0.801852017
11,p002,c0,img_54617.jpg,1,img_69092.jpg,0.800041476
12,p002,c0,img_26684.jpg,1,img_69092.jpg,0.806407951
13,p002,c0,img_82409.jpg,1,img_69092.jpg,0.814428745
14,p002,c0,img_5585.jpg,1,img_69092.jpg,0.819816775
15,p002,c0,img_19029.jpg,1,img_69092.jpg,0.815728507
16,p002,c0,img_40930.jpg,1,img_69092.jpg,0.812724674
17,p002,c0,img_31547.jpg,0,,0
18,p002,c0,img_87373.jpg,1,img_31547.jpg,0.892816087
19,p002,c0,img_10627.jpg,1,img_31547.jpg,0.85023415
20,p002,c0,img_66355.jpg,0,,0
21,p002,c0,img_97714.jpg,1,img_31547.jpg,0.860346842
22,p002,c0,img_37344.jpg,1,img_31547.jpg,0.876021098
23,p002,c0,img_54848.jpg,1,img_31547.jpg,0.864985502
24,p002,c0,img_59964.jpg,1,img_31547.jpg,0.837651116
25,p002,c0,img_70675.jpg,1,img_31547.jpg,0.82585822
26,p002,c0,img_43317.jpg,1,img_31547.jpg,0.826686142
27,p002,c0,img_13585.jpg,1,img_31547.jpg,0.827104934
28,p002,c0,img_63064.jpg,1,img_31547.jpg,0.833836371
29,p002,c0,img_91058.jpg,1,img_31547.jpg,0.832358183
30,p002,c0,img_79799.jpg,1,img_31547.jpg,0.829699972
31,p002,c0,img_18198.jpg,1,img_31547.jpg,0.82374707
32,p002,c0,img_55108.jpg,1,img_31547.jpg,0.808336245
33,p002,c0,img_87789.jpg,0,,0
34,p002,c0,img_11582.jpg,1,img_87789.jpg,0.909481717
35,p002,c0,img_24152.jpg,1,img_87789.jpg,0.908594571
36,p002,c0,img_28404.jpg,1,img_87789.jpg,0.914995395
37,p002,c0,img_8868.jpg,1,img_87789.jpg,0.898346213
38,p002,c0,img_14949.jpg,1,img_31547.jpg,0.801609245
39,p002,c0,img_41276.jpg,1,img_31547.jpg,0.806771994
40,p002,c0,img_70611.jpg,1,img_31547.jpg,0.804009748
41,p002,c0,img_42895.jpg,1,img_87789.jpg,0.880568804
42,p002,c0,img_87995.jpg,1,img_87789.jpg,0.890168859
43,p002,c0,img_40990.jpg,1,img_31547.jpg,0.815426537
44,p002,c0,img_68866.jpg,1,img_87789.jpg,0.84270342
45,p002,c0,img_71265.jpg,1,img_87789.jpg,0.846091418
46,p002,c0,img_90102.jpg,1,img_87789.jpg,0.847267875
47,p002,c0,img_30954.jpg,1,img_87789.jpg,0.85065913
48,p002,c0,img_3570.jpg,1,img_87789.jpg,0.848408289
49,p002,c0,img_59000.jpg,1,img_87789.jpg,0.821650246
50,p002,c0,img_48323.jpg,1,img_87789.jpg,0.815294983
51,p002,c0,img_13073.jpg,0,,0
52,p002,c0,img_80662.jpg,0,,0
53,p002,c0,img_57625.jpg,1,img_80662.jpg,0.854121964
54,p002,c0,img_39046.jpg,0,,0
55,p002,c0,img_89021.jpg,1,img_80662.jpg,0.803003436
56,p002,c0,img_30400.jpg,0,,0
57,p002,c0,img_23447.jpg,0,,0
58,p002,c0,img_92645.jpg,1,img_23447.jpg,0.80259892
59,p002,c0,img_6563.jpg,0,,0
60,p002,c0,img_98115.jpg,1,img_6563.jpg,0.848412477
61,p002,c0,img_25670.jpg,0,,0
62,p002,c0,img_17794.jpg,1,img_25670.jpg,0.835741664
63,p002,c0,img_49392.jpg,0,,0
64,p002,c0,img_16046.jpg,1,img_49392.jpg,0.80374389
65,p002,c0,img_22191.jpg,0,,0
66,p002,c0,img_90443.jpg,0,,0
67,p002,c0,img_92014.jpg,0,,0
68,p002,c0,img_20310.jpg,0,,0
