SNo,subject,classname,img,duplicate,parent_img,ssim_score,duplicate_final
0,p002,c0,img_44733.jpg,0,,0,0
1,p002,c0,img_72999.jpg,1,img_44733.jpg,0.856947065,1
2,p002,c0,img_25094.jpg,1,img_44733.jpg,0.838403775,1
3,p002,c0,img_69092.jpg,0,,0,0
4,p002,c0,img_92629.jpg,1,img_69092.jpg,0.915425858,1
5,p002,c0,img_3370.jpg,1,img_69092.jpg,0.841996849,1
6,p002,c0,img_67639.jpg,1,img_69092.jpg,0.838037411,1
7,p002,c0,img_58560.jpg,1,img_69092.jpg,0.833949603,1
8,p002,c0,img_35779.jpg,1,img_69092.jpg,0.837731607,1
9,p002,c0,img_10012.jpg,1,img_69092.jpg,0.822058451,1
10,p002,c0,img_70354.jpg,1,img_69092.jpg,0.801852017,0
11,p002,c0,img_54617.jpg,1,img_69092.jpg,0.800041476,0
12,p002,c0,img_26684.jpg,1,img_69092.jpg,0.806407951,0
13,p002,c0,img_82409.jpg,1,img_69092.jpg,0.814428745,0
14,p002,c0,img_5585.jpg,1,img_69092.jpg,0.819816775,0
15,p002,c0,img_19029.jpg,1,img_69092.jpg,0.815728507,0
16,p002,c0,img_40930.jpg,1,img_69092.jpg,0.812724674,0
17,p002,c0,img_31547.jpg,0,,0,0
18,p002,c0,img_87373.jpg,1,img_31547.jpg,0.892816087,1
19,p002,c0,img_10627.jpg,1,img_31547.jpg,0.85023415,1
20,p002,c0,img_66355.jpg,0,,0,0
21,p002,c0,img_97714.jpg,1,img_31547.jpg,0.860346842,1
22,p002,c0,img_37344.jpg,1,img_31547.jpg,0.876021098,1
23,p002,c0,img_54848.jpg,1,img_31547.jpg,0.864985502,1
24,p002,c0,img_59964.jpg,1,img_31547.jpg,0.837651116,1
25,p002,c0,img_70675.jpg,1,img_31547.jpg,0.82585822,1
26,p002,c0,img_43317.jpg,1,img_31547.jpg,0.826686142,1
27,p002,c0,img_13585.jpg,1,img_31547.jpg,0.827104934,1
28,p002,c0,img_63064.jpg,1,img_31547.jpg,0.833836371,1
29,p002,c0,img_91058.jpg,1,img_31547.jpg,0.832358183,1
30,p002,c0,img_79799.jpg,1,img_31547.jpg,0.829699972,1
31,p002,c0,img_18198.jpg,1,img_31547.jpg,0.82374707,1
32,p002,c0,img_55108.jpg,1,img_31547.jpg,0.808336245,0
33,p002,c0,img_87789.jpg,0,,0,0
34,p002,c0,img_11582.jpg,1,img_87789.jpg,0.909481717,1
35,p002,c0,img_24152.jpg,1,img_87789.jpg,0.908594571,1
36,p002,c0,img_28404.jpg,1,img_87789.jpg,0.914995395,1
37,p002,c0,img_8868.jpg,1,img_87789.jpg,0.898346213,1
38,p002,c0,img_14949.jpg,1,img_31547.jpg,0.801609245,0
39,p002,c0,img_41276.jpg,1,img_31547.jpg,0.806771994,0
40,p002,c0,img_70611.jpg,1,img_31547.jpg,0.804009748,0
41,p002,c0,img_42895.jpg,1,img_87789.jpg,0.880568804,1
42,p002,c0,img_87995.jpg,1,img_87789.jpg,0.890168859,1
43,p002,c0,img_40990.jpg,1,img_31547.jpg,0.815426537,0
44,p002,c0,img_68866.jpg,1,img_87789.jpg,0.84270342,1
45,p002,c0,img_71265.jpg,1,img_87789.jpg,0.846091418,1
46,p002,c0,img_90102.jpg,1,img_87789.jpg,0.847267875,1
47,p002,c0,img_30954.jpg,1,img_87789.jpg,0.85065913,1
48,p002,c0,img_3570.jpg,1,img_87789.jpg,0.848408289,1
49,p002,c0,img_59000.jpg,1,img_87789.jpg,0.821650246,1
50,p002,c0,img_48323.jpg,1,img_87789.jpg,0.815294983,0
51,p002,c0,img_13073.jpg,0,,0,0
52,p002,c0,img_80662.jpg,0,,0,0
53,p002,c0,img_57625.jpg,1,img_80662.jpg,0.854121964,1
54,p002,c0,img_39046.jpg,0,,0,0
55,p002,c0,img_89021.jpg,1,img_80662.jpg,0.803003436,0
56,p002,c0,img_30400.jpg,0,,0,0
57,p002,c0,img_23447.jpg,0,,0,0
58,p002,c0,img_92645.jpg,1,img_23447.jpg,0.80259892,0
59,p002,c0,img_6563.jpg,0,,0,0
60,p002,c0,img_98115.jpg,1,img_6563.jpg,0.848412477,1
61,p002,c0,img_25670.jpg,0,,0,0
62,p002,c0,img_17794.jpg,1,img_25670.jpg,0.835741664,1
63,p002,c0,img_49392.jpg,0,,0,0
64,p002,c0,img_16046.jpg,1,img_49392.jpg,0.80374389,0
65,p002,c0,img_22191.jpg,0,,0,0
66,p002,c0,img_90443.jpg,0,,0,0
67,p002,c0,img_92014.jpg,0,,0,0
68,p002,c0,img_20310.jpg,0,,0,0
69,p002,c0,img_66379.jpg,0,,0,0
70,p002,c0,img_15221.jpg,0,,0,0
71,p002,c0,img_48187.jpg,0,,0,0
72,p002,c0,img_72300.jpg,0,,0,0
73,p002,c0,img_29321.jpg,0,,0,0
74,p002,c0,img_99512.jpg,0,,0,0
75,p002,c0,img_69672.jpg,0,,0,0
76,p002,c1,img_16856.jpg,0,,0,0
77,p002,c1,img_8410.jpg,0,,0,0
78,p002,c1,img_15559.jpg,1,img_8410.jpg,0.855416684,1
79,p002,c1,img_58564.jpg,1,img_8410.jpg,0.809035466,0
80,p002,c1,img_4562.jpg,0,,0,0
81,p002,c1,img_54810.jpg,1,img_4562.jpg,0.812953307,0
82,p002,c1,img_96357.jpg,0,,0,0
83,p002,c1,img_51439.jpg,0,,0,0
84,p002,c1,img_92674.jpg,1,img_51439.jpg,0.815137995,0
85,p002,c1,img_11478.jpg,1,img_51439.jpg,0.834682082,1
86,p002,c1,img_51195.jpg,0,,0,0
87,p002,c1,img_74250.jpg,0,,0,0
88,p002,c1,img_31239.jpg,1,img_74250.jpg,0.830483041,1
89,p002,c1,img_86126.jpg,0,,0,0
90,p002,c1,img_69281.jpg,0,,0,0
91,p002,c1,img_90114.jpg,0,,0,0
92,p002,c1,img_51227.jpg,0,,0,0
93,p002,c1,img_9231.jpg,1,img_51227.jpg,0.823998123,1
94,p002,c1,img_98099.jpg,0,,0,0
95,p002,c1,img_70150.jpg,0,,0,0
96,p002,c1,img_16466.jpg,0,,0,0
97,p002,c1,img_53097.jpg,1,img_16466.jpg,0.80164797,0
98,p002,c1,img_58253.jpg,0,,0,0
99,p002,c1,img_77658.jpg,0,,0,0
100,p002,c1,img_54734.jpg,0,,0,0
101,p002,c1,img_26722.jpg,1,img_54734.jpg,0.846880882,1
102,p002,c1,img_13840.jpg,0,,0,0
103,p002,c1,img_6329.jpg,0,,0,0
104,p002,c1,img_99248.jpg,1,img_6329.jpg,0.800575659,0
105,p002,c1,img_80450.jpg,0,,0,0
106,p002,c1,img_13160.jpg,0,,0,0
107,p002,c1,img_42960.jpg,1,img_13160.jpg,0.814258799,0
108,p002,c1,img_76849.jpg,0,,0,0
109,p002,c1,img_67955.jpg,1,img_76849.jpg,0.870278334,1
110,p002,c1,img_62530.jpg,1,img_76849.jpg,0.83928514,1
111,p002,c1,img_665.jpg,1,img_76849.jpg,0.815234661,0
112,p002,c1,img_85979.jpg,1,img_76849.jpg,0.803052544,0
113,p002,c1,img_14857.jpg,0,,0,0
114,p002,c1,img_50388.jpg,1,img_14857.jpg,0.894350142,1
115,p002,c1,img_20320.jpg,1,img_14857.jpg,0.887658409,1
116,p002,c1,img_5877.jpg,1,img_14857.jpg,0.850855233,1
117,p002,c1,img_85210.jpg,1,img_14857.jpg,0.842950334,1
118,p002,c1,img_52037.jpg,1,img_14857.jpg,0.82933324,1
119,p002,c1,img_25477.jpg,1,img_14857.jpg,0.822255544,1
120,p002,c1,img_37212.jpg,1,img_14857.jpg,0.813125787,0
121,p002,c1,img_49167.jpg,0,,0,0
122,p002,c1,img_35243.jpg,1,img_49167.jpg,0.835226147,1
123,p002,c1,img_98983.jpg,1,img_49167.jpg,0.828590556,1
124,p002,c1,img_38431.jpg,0,,0,0
125,p002,c1,img_1472.jpg,1,img_38431.jpg,0.849951724,1
126,p002,c1,img_79050.jpg,1,img_38431.jpg,0.812877338,0
127,p002,c1,img_1916.jpg,0,,0,0
128,p002,c1,img_100777.jpg,1,img_38431.jpg,0.805218595,0
129,p002,c1,img_59434.jpg,0,,0,0
130,p002,c1,img_75887.jpg,0,,0,0
131,p002,c1,img_11776.jpg,0,,0,0
132,p002,c1,img_77268.jpg,0,,0,0
133,p002,c1,img_77903.jpg,0,,0,0
134,p002,c1,img_69182.jpg,0,,0,0
135,p002,c1,img_7916.jpg,0,,0,0
136,p002,c1,img_16652.jpg,0,,0,0
137,p002,c1,img_51624.jpg,0,,0,0
138,p002,c1,img_73068.jpg,1,img_51624.jpg,0.801193182,0
139,p002,c1,img_6885.jpg,0,,0,0
